歌曲編號,歌曲名稱,歌星 A,歌星 B,路徑 1,路徑 2,歌曲檔名,新增日期,分類,歌曲注音,歌曲拼音,語別,點播次數,版權01,版權02,版權03,版權04,版權05,版權06,狀態,歌名字數,人聲,狀態2,情境,歌星A注音,歌星B注音,歌星A分類,歌星B分類,歌星A簡體,歌星B簡體,歌名簡體
999938,以上皆非,徐佳瑩,,\\SVR01\DISK02\,\\SVR02\DISK02\,999938.mpg,2021/12/15,,ㄧㄕㄐㄈ,YSJF,國語,0,瑞影,,,,,,1,4,1,1,浪漫,ㄒㄐㄧ,,女,,徐佳莹,,以上皆非
999937,動滋動,黃小琥,,\\SVR01\DISK02\,\\SVR02\DISK02\,999937.mpg,2021/12/04,,ㄉㄗㄉ,DZD,國語,0,瑞影,,,,,,1,3,1,1,浪漫,ㄏㄒㄏ,,女,,黄小琥,,动滋动
999936,媽媽的心晟,陳雷,,\\SVR01\DISK02\,\\SVR02\DISK02\,999936.mpg,2021/12/15,,ㄇㄇㄉㄒㄔ,MMDXC,台語,0,瑞影,,,,,,1,5,1,1,柔和,ㄔㄌ,,男,,陈雷,,妈妈的心晟
999935,月旁月光,怕胖團,,\\SVR01\DISK02\,\\SVR02\DISK02\,999935.mpg,2021/11/26,,ㄩㄆㄩㄍ,YPYG,國語,10,瑞影,,,,,,1,4,1,1,浪漫,ㄆㄆㄊ,,團,,怕胖团,,月旁月光
999934,台灣滷肉飯,陳雷,,\\SVR01\DISK02\,\\SVR02\DISK02\,999934.mpg,2021/11/26,,ㄊㄨㄌㄖㄈ,TWLRF,台語,0,瑞影,,,,,,1,5,1,1,柔和,ㄔㄌ,,男,,陈雷,,台湾卤肉饭
999933,有一種愛叫做不放棄,何龍雨,,\\SVR01\DISK01\,\\SVR02\DISK01\,999933.mpg,2021/11/26,,ㄧㄧㄓㄞㄐㄗㄅㄈㄑ,YYZAJZBFQ,國語,0,揚聲,,,,,,1,9,1,1,浪漫,ㄏㄌㄩ,,男,,何龙雨,,有一种爱叫做不放弃
999932,雪中情,冷漠,,\\SVR01\DISK01\,\\SVR02\DISK01\,999932.mpg,2021/11/26,,ㄒㄓㄑ,XZQ,國語,0,揚聲,,,,,,1,3,1,1,浪漫,ㄌㄇ,,男,,冷漠,,雪中情
999931,錯過的花季,莊心妍,,\\SVR01\DISK01\,\\SVR02\DISK01\,999931.mpg,2021/11/26,,ㄘㄍㄉㄏㄐ,CGDHJ,國語,0,揚聲,,,,,,1,5,1,1,浪漫,ㄓㄒㄧ,,女,,庄心妍,,错过的花季
999930,其實你不知道我有多愛你,張津滌,,\\SVR01\DISK01\,\\SVR02\DISK01\,999930.mpg,2021/11/26,,ㄑㄕㄋㄅㄓㄉㄨㄧㄉㄞㄋ,QSNBZDWYDAN,國語,0,揚聲,,,,,,1,11,1,1,浪漫,ㄓㄐㄉ,,女,,张津涤,,其实你不知道我有多爱你
999929,靜靜的花,彭清,,\\SVR01\DISK01\,\\SVR02\DISK01\,999929.mpg,2021/11/26,,ㄐㄐㄉㄏ,JJDH,國語,0,揚聲,,,,,,1,4,1,1,浪漫,ㄆㄑ,,女,,彭清,,静静的花
